EquipmentId,Equipment_Name,Equipment_Level,Equipment_Type,Equipment_Location,Equipment_Capacity
EQP-091,Bravo-ShieldWrapper-01,WorkUnit,Laminating,Portland OR USA,0
EQP-092,Hotel-SensorPlacer-01,WorkUnit,Weaving,Portland OR USA,0
EQP-093,Hotel-Laminator-01,WorkUnit,Laminating,Portland OR USA,0
EQP-094,Bravo-CartoonPacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-095,Bravo-CartoonPacker-02,WorkUnit,Packing,Portland OR USA,0
EQP-096,Charlie-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-097,Foxtrot-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-098,Delta-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-099,Alpha-FiberWeaver-04,WorkUnit,Weaving,Portland OR USA,0
EQP-100,Delta-FiberWeaver-14,WorkUnit,Weaving,Portland OR USA,0
EQP-101,India-FiberWeaver-00,WorkUnit,Weaving,Portland OR USA,0
EQP-102,India-FiberWeaver-01,WorkUnit,Weaving,Portland OR USA,0
EQP-103,India-FiberWeaver-03,WorkUnit,Weaving,Portland OR USA,0
EQP-104,India-FiberWeaver-04,WorkUnit,Weaving,Portland OR USA,0
EQP-105,India-FiberWeaver-05,WorkUnit,Weaving,Portland OR USA,0
EQP-106,India-FiberWeaver-06,WorkUnit,Weaving,Portland OR USA,0
EQP-107,India-FiberWeaver-07,WorkUnit,Weaving,Portland OR USA,0
EQP-108,India-FiberWeaver-08,WorkUnit,Weaving,Portland OR USA,0
EQP-109,Kilo-ConductivityTester-01,WorkUnit,QualityControl,Portland OR USA,0
EQP-110,Echo-FiberWeaver-03,WorkUnit,Weaving,Portland OR USA,0
EQP-111,Echo-FiberWeaver-05,WorkUnit,Weaving,Portland OR USA,0
EQP-112,Echo-FiberWeaver-06,WorkUnit,Weaving,Portland OR USA,0
EQP-113,Echo-PackingRobot-01,WorkUnit,Packing,Portland OR USA,0
EQP-114,Echo-FiberWeaver-04,WorkUnit,Weaving,Portland OR USA,0
EQP-115,Alpha-FiberWeaver-01,WorkUnit,Weaving,Portland OR USA,0
EQP-116,Alpha-FiberWeaver-02,WorkUnit,Weaving,Portland OR USA,0
EQP-117,Alpha-FiberWeaver-03,WorkUnit,Weaving,Portland OR USA,0
EQP-118,Echo-BoxFormer-01,WorkUnit,Packing,Portland OR USA,0
EQP-119,India-FiberWeaver-02,WorkUnit,Weaving,Portland OR USA,0
EQP-120,India-FiberWeaver-09,WorkUnit,Weaving,Portland OR USA,0
EQP-121,India-FiberWeaver-10,WorkUnit,Weaving,Portland OR USA,0
EQP-122,Hotel-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-123,Alpha-ESDWrapper-01,WorkUnit,Packing,Portland OR USA,0
EQP-124,Alpha-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-125,Alpha-StackerUnit-01,WorkUnit,Packing,Portland OR USA,0
EQP-126,Alpha-PackingRobot-01,WorkUnit,Packing,Portland OR USA,0
EQP-127,Bravo-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-128,Echo-Laminator-01,WorkUnit,Laminating,Portland OR USA,0
EQP-129,Echo-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-130,Echo-FiberWeaver-01,WorkUnit,Weaving,Portland OR USA,0
EQP-131,Echo-FiberWeaver-02,WorkUnit,Weaving,Portland OR USA,0
EQP-132,Echo-SensorPlacer-01,WorkUnit,Weaving,Portland OR USA,0
EQP-133,Echo-BulkPacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-134,Golf-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-135,India-BoxFormer-01,WorkUnit,Packing,Portland OR USA,0
EQP-136,India-BoxFormer-02,WorkUnit,Packing,Portland OR USA,0
EQP-137,India-BoxFormer-03,WorkUnit,Packing,Portland OR USA,0
EQP-138,India-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-139,India-ShieldWrapper-01,WorkUnit,Laminating,Portland OR USA,0
EQP-140,India-ShieldWrapper-02,WorkUnit,Laminating,Portland OR USA,0
EQP-141,India-ShieldWrapper-03,WorkUnit,Laminating,Portland OR USA,0
EQP-142,India-Laminator-01,WorkUnit,Laminating,Portland OR USA,0
EQP-143,India-Laminator-02,WorkUnit,Laminating,Portland OR USA,0
EQP-144,India-ConductivityTester-01,WorkUnit,QualityControl,Portland OR USA,0
EQP-145,India-ConductivityTester-02,WorkUnit,QualityControl,Portland OR USA,0
EQP-146,India-CasePacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-147,Juliet-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-148,Kilo-ConveyorBelt-01,WorkUnit,Transport,Portland OR USA,0
EQP-149,Kilo-CasePacker-01,WorkUnit,Packing,Portland OR USA,0
EQP-150,WeaveLine-Alpha,WorkCenter,Weaving,Portland OR USA,20000000
EQP-151,WeaveLine-Bravo,WorkCenter,Weaving,Portland OR USA,20000000
EQP-152,WeaveLine-Charlie,WorkCenter,Weaving,Portland OR USA,20000000
EQP-153,WeaveLine-Delta,WorkCenter,Weaving,Portland OR USA,20000000
EQP-154,WeaveLine-Echo,WorkCenter,Weaving,Portland OR USA,20000000
EQP-155,WeaveLine-Foxtrot,WorkCenter,Weaving,Portland OR USA,20000000
EQP-156,WeaveLine-Golf,WorkCenter,Weaving,Portland OR USA,20000000
EQP-157,WeaveLine-Hotel,WorkCenter,Weaving,Portland OR USA,20000000
EQP-158,WeaveLine-India,WorkCenter,Weaving,Portland OR USA,20000000
EQP-159,WeaveLine-Juliet,WorkCenter,Weaving,Portland OR USA,20000000
EQP-160,WeaveLine-Kilo,WorkCenter,Weaving,Portland OR USA,20000000
