EquipmentId,Equipment_Name,Equipment_Level,Equipment_Type,Equipment_Location,Equipment_Capacity
EQP-099,Alpha-TeaBagFormer-04,WorkUnit,Forming,Manchester UK,0
EQP-100,Delta-TeaBagFormer-14,WorkUnit,Forming,Manchester UK,0
EQP-101,India-TeaBagFormer-00,WorkUnit,Forming,Manchester UK,0
EQP-102,India-TeaBagFormer-01,WorkUnit,Forming,Manchester UK,0
EQP-103,India-TeaBagFormer-03,WorkUnit,Forming,Manchester UK,0
EQP-104,India-TeaBagFormer-04,WorkUnit,Forming,Manchester UK,0
EQP-105,India-TeaBagFormer-05,WorkUnit,Forming,Manchester UK,0
EQP-106,India-TeaBagFormer-06,WorkUnit,Forming,Manchester UK,0
EQP-107,India-TeaBagFormer-07,WorkUnit,Forming,Manchester UK,0
EQP-108,India-TeaBagFormer-08,WorkUnit,Forming,Manchester UK,0
EQP-109,Kilo-MetalDetector-01,WorkUnit,QualityControl,Manchester UK,0
EQP-110,Echo-TeaBagFormer-03,WorkUnit,Forming,Manchester UK,0
EQP-111,Echo-TeaBagFormer-05,WorkUnit,Forming,Manchester UK,0
EQP-112,Echo-TeaBagFormer-06,WorkUnit,Forming,Manchester UK,0
EQP-113,Echo-PackingRobot-01,WorkUnit,Packing,Manchester UK,0
EQP-114,Echo-TeaBagFormer-04,WorkUnit,Forming,Manchester UK,0
EQP-115,Alpha-TeaBagFormer-01,WorkUnit,Forming,Manchester UK,0
EQP-116,Alpha-TeaBagFormer-02,WorkUnit,Forming,Manchester UK,0
EQP-117,Alpha-TeaBagFormer-03,WorkUnit,Forming,Manchester UK,0
EQP-118,Echo-BoxFormer-01,WorkUnit,Packing,Manchester UK,0
EQP-119,India-TeaBagFormer-02,WorkUnit,Forming,Manchester UK,0
EQP-120,India-TeaBagFormer-09,WorkUnit,Forming,Manchester UK,0
EQP-121,India-TeaBagFormer-10,WorkUnit,Forming,Manchester UK,0
EQP-122,Hotel-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-123,Alpha-FoilWrapper-01,WorkUnit,Packing,Manchester UK,0
EQP-124,Alpha-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-125,Alpha-StackerUnit-01,WorkUnit,Packing,Manchester UK,0
EQP-126,Alpha-PackingRobot-01,WorkUnit,Packing,Manchester UK,0
EQP-127,Bravo-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-128,Echo-Cartoner-01,WorkUnit,Wrapping,Manchester UK,0
EQP-129,Echo-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-130,Echo-TeaBagFormer-01,WorkUnit,Forming,Manchester UK,0
EQP-131,Echo-TeaBagFormer-02,WorkUnit,Forming,Manchester UK,0
EQP-132,Echo-EnvelopeMachine-01,WorkUnit,Forming,Manchester UK,0
EQP-133,Echo-BulkPacker-01,WorkUnit,Packing,Manchester UK,0
EQP-134,Golf-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-135,India-BoxFormer-01,WorkUnit,Packing,Manchester UK,0
EQP-136,India-BoxFormer-02,WorkUnit,Packing,Manchester UK,0
EQP-137,India-BoxFormer-03,WorkUnit,Packing,Manchester UK,0
EQP-138,India-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-139,India-FilmWrapper-01,WorkUnit,Wrapping,Manchester UK,0
EQP-140,India-FilmWrapper-02,WorkUnit,Wrapping,Manchester UK,0
EQP-141,India-FilmWrapper-03,WorkUnit,Wrapping,Manchester UK,0
EQP-142,India-Cartoner-01,WorkUnit,Wrapping,Manchester UK,0
EQP-143,India-Cartoner-02,WorkUnit,Wrapping,Manchester UK,0
EQP-144,India-MetalDetector-01,WorkUnit,QualityControl,Manchester UK,0
EQP-145,India-MetalDetector-02,WorkUnit,QualityControl,Manchester UK,0
EQP-146,India-CasePacker-01,WorkUnit,Packing,Manchester UK,0
EQP-147,Juliet-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-148,Kilo-ConveyorBelt-01,WorkUnit,Transport,Manchester UK,0
EQP-149,Kilo-CasePacker-01,WorkUnit,Packing,Manchester UK,0
